
            Beak |S>  |S>  |S><R|    |    |    |    |    | Beak
             Ink |S>  |S>  |S>  |  <R|  <R|    |    |    | Ink
       PoisonGas |    |  <R|S>  |    |    |    |    |    | PoisonGas
       PoisonGun |  <R|S>  |S>  |  <R|  <R|    |    |    | PoisonGun
        SleepGas |S>  |S>  |S>  |    |    |    |    |    | SleepGas
    SphinxRiddle |    |    |S>  |    |    |    |    |    | SphinxRiddle
        StinkGas |S>  |S>  |S>  |    |    |    |    |    | StinkGas
        StoneGas |S>  |S><R|S>  |    |    |    |    |    | StoneGas
         TripGas |    |  <R|S>  |    |    |    |    |    | TripGas
     WaterCannon |    |    |  <R|S><R|  <R|S>  |    |    | WaterCannon



      BattleSong |    |    |    |    |S>  |    |    |    | BattleSong
        BladeNet |  <R|S>  |S>  |  <R|  <R|    |    |    | BladeNet
     Ectoplasnet |S><R|S>  |S>  |    |    |    |    |    | Ectoplasnet
         ElfShot |  <R|S>  |S>  |  <R|    |    |    |    | ElfShot
           Flash |S>  |S>  |S>  |    |    |    |    |    | Flash
    GremlinTouch |    |  <R|S>  |    |    |    |    |    | GremlinTouch
        HeatWave |    |    |  -r|S>  |S>  |  -r|    |    | HeatWave
         HPDrain |  <R|S>  |S>  |  <R|    |    |    |    | HPDrain
           Ignis |    |  -r|S>  |  -r|S>  |  -r|    |    | Ignis
        IllStorm |    |S>  |S>  |    |    |    |    |    | IllStorm
       LightBall |  -r|    |S>  |    |    |    |    |    | LightBall
         Lullaby |    |    |S>  |    |    |    |    |    | Lullaby
       Maelstrom |S>  |S>  |S>  |    |  -r|S>  |    |    | Maelstrom
   MagneticStorm |S>  |S>  |S>  |S>  |  -r|  -r|    |    | MagneticStorm
   MightyCyclone |    |    |S><R|  <R|  <R|    |    |    | MightyCyclone
      PainPowder |S>  |S>  |S>  |  <R|  <R|  <R|    |    | PainPowder
       Pheromone |    |    |S>  |    |    |    |    |    | Pheromone
      PoisonMist |    |S>  |S>  |    |    |    |    |    | PoisonMist
           Quake |    |    |  -r|    |    |  -r|    |    | Quake
       QuickSand |    |S><R|S>  |    |    |    |    |    | QuickSand
            Rock |  <R|S>  |S>  |  <R|    |  <R|    |    | Rock
      SacredSong |S>  |S>  |S>  |    |  -r|  -r|    |    | SacredSong
         SadSong |    |    |S>  |    |    |S>  |    |    | SadSong
          Scream |  <R|S>  |S>  |    |  <R|    |    |    | Scream
       Seduction |    |    |S>  |    |    |    |    |    | Seduction
            Silf |    |  <R|S>  |  <R|  <R|S>  |    |    | Silf
           Siren |  -r|S>  |S>  |    |  -r|    |    |    | Siren
       SpiderNet |S><R|S>  |S>  |    |    |    |    |    | SpiderNet
           Spoil |  <R|S>  |S>  |    |    |    |    |    | Spoil
      Supersonic |  <R|S>  |S>  |    |  <R|    |    |    | Supersonic
     Thunderbolt |S>  |S>  |S>  |  <R|  <R|  <R|    |    | Thunderbolt
         Tornado |S>  |S><R|S>  |S><R|  <R|S>  |  <R|    | Tornado
          Tremor |  -r|S>  |S>  |    |    |  -r|    |    | Tremor
       Windblast |    |    |  -r|S>-r|    |S>  |    |    | Windblast
